Rk,Player,Pos,Age,Tm,G,MP,PER?,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Conference
278,Dean Meminger\meminde01,SG,28,NYK,32,254,8.0,0.466,,0.639,5.1,5.7,5.4,13.2,1.4,0.2,,,0.0,0.1,0.2,0.032,-3.7,-0.2,-3.9,-0.1,East
279,Goo Kennedy\kennego01,SF,27,HOU,32,277,7.8,0.528,,0.138,5.7,14.1,10.1,2.8,1.2,1.0,,,0.1,0.1,0.3,0.045,-3.7,-0.7,-4.4,-0.2,East
280,Fred Foster\fostefr01,SF,30,BUF,59,689,7.7,0.428,,0.17800000000000002,4.8,6.3,5.6,9.8,1.0,0.0,,,-0.4,0.2,-0.2,-0.017,-4.7,-2.5,-7.2,-0.9,East
281,Tom Van Arsdale\vanarto01,SF,33,PHO,77,1425,7.7,0.484,,0.36700000000000005,3.6,10.3,7.0,6.3,0.6,0.1,,,0.0,1.1,1.1,0.037000000000000005,-4.8,-1.1,-5.9,-1.4,West
282,Jim Barnett\barneji02,SG,32,PHI,16,231,7.4,0.45899999999999996,,0.281,3.2,2.9,3.0,13.0,0.8,0.0,,,0.0,0.1,0.1,0.013999999999999999,-4.5,-2.7,-7.2,-0.3,East
283,Mike D'Antoni\dantomi01,SG,25,SAS,2,9,7.2,0.387,,0.667,0.0,22.6,11.4,26.8,0.0,0.0,,,0.0,0.0,0.0,-0.185,-5.4,-3.0,-8.4,0.0,East
284,Bobby Wilson\wilsobo03,SG,26,BOS,25,131,6.8,0.379,,0.22,2.3,4.5,3.4,14.7,1.0,0.0,,,-0.2,0.1,-0.1,-0.055,-6.3,-3.3,-9.6,-0.3,East
285,Clyde Mayes\mayescl01,PF,23,TOT,9,52,6.7,0.294,,0.368,19.3,11.6,15.4,7.7,0.0,4.0,,,-0.2,0.0,-0.1,-0.109,-6.7,-3.5,-10.2,-0.1,NaN
286,Marv Roberts\roberma01,SF,27,LAL,28,209,6.0,0.369,,0.079,4.5,7.6,6.1,11.4,0.9,0.5,,,-0.3,0.1,-0.2,-0.051,-6.0,-2.1,-8.1,-0.3,West
287,Mike Riordan\riordmi01,SF,31,WSB,49,289,5.6,0.39299999999999996,,0.16,2.5,7.0,4.8,9.0,0.5,0.4,,,-0.3,0.2,-0.1,-0.024,-6.5,-1.8,-8.4,-0.5,East
