Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
88,Phil Ford\fordph01,PG,24,KCK,66,2287,17.3,0.553,0.041,0.399,1.3,4.9,3.1,35.5,2.1,0.1,18.8,23.3,,3.4,1.9,5.2,0.11,,1.2,-2.3,-1.1,0.5
89,World B. Free\freewo01,SG,27,GSW,65,2370,19.5,0.542,0.027,0.561,2.2,5.3,3.7,22.3,1.7,0.3,11.9,27.4,,6.8,0.6,7.4,0.15,,2.9,-2.8,0.1,1.3
90,Tony Fuller\fulleto01,SG,22,DET,15,248,6.9,0.411,0.015,0.242,5.8,14.4,9.8,15.6,1.9,0.2,23.9,15.7,,-0.4,0.3,-0.1,-0.021,,-5.2,0.2,-5,-0.2
91,Mike Gale\galemi01,PG,30,TOT,77,1112,13.7,0.547,0.023,0.22,1.6,8,4.8,19.6,3.9,0.3,18.5,14.8,,1,1.4,2.4,0.105,,-0.9,0.4,-0.4,0.4
91,Mike Gale\galemi01,PG,30,SAS,35,636,13.4,0.547,0.018,0.159,1.3,7.4,4.5,20.3,4,0.2,18.2,13.4,,0.6,0.8,1.4,0.107,,-0.5,0.5,0,0.3
91,Mike Gale\galemi01,PG,30,POR,42,476,13.9,0.547,0.028,0.29,2.1,8.7,5.4,18.5,3.8,0.6,18.9,16.8,,0.4,0.6,1,0.102,,-1.3,0.3,-1,0.1
92,Calvin Garrett\garreca01,SF,24,HOU,70,1638,8.8,0.483,0.007,0.149,5.7,12.3,9,10.2,1.5,0.3,16.9,13.2,,0.2,1.2,1.4,0.04,,-1.9,0.7,-1.2,0.3
93,Gus Gerard\gerargu01,SF,27,TOT,27,252,12.5,0.424,0.036,0.36,13.4,15.7,14.6,8.1,1.9,2,10.4,23.1,,0,0.3,0.3,0.058,,-2.5,-1,-3.6,-0.1
93,Gus Gerard\gerargu01,SF,27,KCK,16,123,12.2,0.447,0.059,0.569,11.8,14.4,13.1,6.5,1.2,2.8,9.9,23.8,,0,0.1,0.2,0.061,,-3,-1.4,-4.4,-0.1
93,Gus Gerard\gerargu01,SF,27,SAS,11,129,12.8,0.401,0.017,0.183,15,17,16,9.5,2.5,1.2,11,22.4,,0,0.2,0.1,0.055,,-2.1,-0.6,-2.7,0
94,George Gervin*\gervige01,SG,28,SAS,82,2765,22.9,0.555,0.02,0.359,5.2,11.1,8.2,15.8,1.6,1.1,11.1,32.3,,8.1,2.4,10.5,0.182,,3.6,-2,1.6,2.5
95,Artis Gilmore*\gilmoar01,C,31,CHI,82,2832,21.7,0.699,0,0.652,9.2,23.5,16.7,8.9,0.8,4,18.4,18.5,,8.4,3.9,12.3,0.208,,3.1,1.7,4.9,4.9
96,Mike Glenn\glennmi01,PG,25,NYK,82,1506,15,0.601,0.022,0.215,2,4.8,3.3,10.3,2.3,0.2,10,16.8,,3.1,1.3,4.4,0.139,,0.5,-1.3,-0.7,0.5
97,Mike Gminski\gminsmi01,C,21,NJN,56,1579,14.5,0.474,0.001,0.294,9.6,20.6,15,6.6,1.6,3.6,14.1,22.7,,-0.5,2,1.5,0.045,,-3,0.7,-2.3,-0.1
98,Glen Gondrezick\gondrgl01,PF,25,DEN,73,1077,16.3,0.542,0.006,0.416,12.6,16.6,14.5,9.6,3.7,0.9,15.1,15.8,,1.8,1.3,3.1,0.136,,1.5,1.5,3,1.4
99,Rickey Green\greenri01,PG,26,UTA,47,1307,13.6,0.516,0.003,0.265,2.7,7.5,5.1,25.3,2.8,0,16.9,16.2,,1,0.7,1.8,0.065,,-0.6,-1.1,-1.7,0.1
100,Dave Greenwood\greenda01,PF,23,CHI,82,2710,16.6,0.528,0.002,0.293,10.7,19.4,15.2,11.6,1.4,2.6,14.7,19.7,,3.8,3.4,7.1,0.126,,0.7,1.4,2.1,2.8
101,Kevin Grevey\greveke01,SG,27,WSB,75,2616,14.5,0.524,0.123,0.263,2.7,6.2,4.4,16.2,1.2,0.4,10.5,21.1,,3.4,2.4,5.8,0.107,,1.3,-0.2,1.1,2.1
102,Paul Griffin\griffpa01,PF,27,SAS,82,1930,13.8,0.575,0,0.778,10.8,17.4,14.2,15.8,1.9,1.1,23.2,11.7,,2.6,2.3,4.9,0.122,,0.9,2,3,2.4
103,Darrell Griffith\griffda01,SG,22,UTA,81,2867,14.7,0.496,0.034,0.207,3.2,8.3,5.8,11.4,1.8,0.8,12.1,28.8,,-0.8,1.1,0.4,0.006,,-1.6,-2.6,-4.1,-1.6
104,Bob Gross\grossbo01,SF,27,POR,82,1934,14,0.584,0.019,0.332,7.1,11.4,9.2,16,2.2,1.9,21.6,14.3,,2.3,2.1,4.4,0.11,,0.2,1.6,1.8,1.9
105,Ernie Grunfeld\grunfer01,SF,25,KCK,79,1584,13.7,0.561,0,0.208,2.2,12.2,7.2,17.6,1.8,0.5,14.2,16.2,,1.8,1.7,3.5,0.106,,-0.7,0.2,-0.5,0.6
106,Roy Hamilton\hamilro01,PG,23,POR,1,5,10.4,0.387,0,0.667,43.4,21.8,32.6,0,0,0,20.5,38.7,,0,0,0,-0.127,,-8.4,-14.4,-22.8,0
107,Bill Hanzlik\hanzlbi01,SF,23,SEA,74,1259,11,0.558,0.017,0.519,6,7.3,6.7,12,2.2,0.9,19.1,14.2,,1.1,1.3,2.4,0.091,,-1.1,0.7,-0.4,0.5
